,D_c,D_z
0,7.49,9.49
1,11.41,13.37
2,15.33,16.81
3,18.78,20.59
4,22.49,24.38
5,26.19,28.090
6,30.010,31.61
7,33.46,35.36
8,37.30,38.91
9,40.81,42.98
10,44.88,46.84
11,48.54,50.43
12,52.29,53.99
13,55.69,57.66
14,59.36,62.13
15,65.03,66.9
16,68.53,70.24
17,71.88,73.76
18,75.41,76.94
19,78.99,80.74
20,82.56,84.08
21,86.16,87.79
22,89.74,91.76
23,93.81,95.78
24,97.76,99.71
25,101.91,103.63
26,105.68,107.44
27,109.62,111.38
28,113.45,115.33
29,117.06,118.9
30,120.87,122.43
31,124.46,126.08
32,128.04,129.6
33,131.43,133.23
34,135.11,136.75
35,138.69,140.71
36,142.65,144.48
37,146.63,148.38
38,150.66,152.33
39,154.43,156.27
40,158.35,160.05
41,162.08,163.96
42,166.05,168.18
43,170.1,171.86
44,173.9,176.23
45,178.13,180.06
46,181.99,183.8
47,185.96,187.93
48,190.02,191.75
49,193.8,196.26
50,198.35,200.7
51,202.67,204.67
52,206.6,208.33
53,210.5,212.05
54,214.28,216.42
55,218.47,220.79
