,D_c,D_z
0,17.14,18.51
1,21.040,23.070
2,24.94,26.51
3,28.66,30.31
4,32.14,33.89
5,35.91,37.81
6,39.64,41.79
7,43.56,45.52
8,47.41,48.98
9,50.89,52.82
10,54.54,56.36
11,58.14,59.81
12,62.47,63.89
13,65.66,67.38
14,69.11,70.79
15,72.68,74.33
16,76.16,78.02
17,79.86,81.69
18,83.56,85.14
19,87.16,88.65
20,90.54,92.27
21,94.13,95.65
22,97.36,99.28
23,100.99,102.93
24,104.62,106.19
25,108.14,109.56
26,111.38,113.04
27,114.91,116.45
28,118.39,120.11
29,122.14,123.81
30,125.46,126.98
31,128.73,130.53
32,132.41,134.24
33,136.06,137.66
34,139.41,141.31
35,142.98,144.81
36,146.75,148.08
37,149.88,151.82
38,153.74,155.61
39,157.56,160.49
40,162.33,163.81
41,165.53,167.28
42,169.03,170.87
43,172.55,174.4
44,176.18,177.91
45,179.76,181.43
46,183.26,185.01
47,186.91,188.78
48,190.91,192.5
49,194.31,195.92
50, 197.63,199.18
51,200.83,203.35
52,204.97,206.95
,208.8,210.52
,212.42,213.88
,215.8,217.24
