,D_c,D_z
0,34.18,35.24
1,38.16,39.69
2,42.14,43.99
3,46.51,48.46
4,50.93,52.58
5,54.96,56.64
6,59.24,60.74
7,63.34,65.46
8,68.1,69.46
9,72.29,73.49
10,76.13,77.41
11,79.71,80.34
12,83.68,85.25
13,87.38,88.81
14,90.89,92.79
15,95.32,96.68
16,99.14,100.46
17,102.96,104.40
18,106.96,108.41
19,111.04,112.48
20,115.19,116.56
21,118.61,120.21
22,122.5,124.01
23,126.03,127.41
24,129.2,131.06
25,133.41,134.78
26,137.24,138.78
27,141.25,143.0
28,145.46,147.05
29,149.36,150.75
30,152.93,154.33
31,156.71,157.71
32,159.8,167.01
33,169.13,170.43
34,172.55,173.91
35,176.08,177.37
36,179.51,180.73
37,182.83,184.01
38,186.01,187.16
39,189.31,190.35
40,191.95,193.43
41,195.11,196.4
42,198.38,199.55
43,201.42,202.58
44,204.42,205.55
45,208.58,209.55
46,211.33,212.55
47,214.47,215.73
48,217.53,218.8
49,220.76,221.9
50,223.81,225.07
51,227.06,228.09
52,229.98,231.11
