,D_c,D_z
0,19.99,21.66
1,23.49,25.14
2,26.99,28.99
3,30.72,32.53
4,34.45,36.11
5,37.82,39.83
6,41.51,43.33
7,45.2,46.94
8,48.74,50.38
9,52.36,54.31
10,56.23,58.25
11,60.08,61.76
12,63.76,65.3
13,67.3,68.71
14,70.75,72.31
15,74.4,75.88
16,77.68,79.28
17,81.13,83.08
18,84.89,86.85
19,88.95,90.88
20,92.49,94.49
21,96.35,98.11
22,99.91,101.95
23,103.71,105.31
24,107.28,109.27
25,111.11,112.86
26,114.66,116.45
27,118.35,119.93
28,121.8,123.59
29,125.52,127.33
30,129.18,130.9
31,132.81,134.35
32,136.3,137.8
33,139.58,141.6
34,144.28,147.5
35,149.72,151.35
36,153.26,154.98
37,156.95,158.55
38,160.5,162.23
39,164.2,165.73
40,167.75,169.25
41,171.4,172.93
42,174.93,176.68
43,178.75,180.6
44,182.92,185.0
45,187.1,188.85
46,190.95,192.65
47,194.89,196.55
48,198.38,199.95
49,201.75,203.52
50,205.53,207.27
51,209.33,211.1
52,213.33,215.08
53,217.25,218.75
54,220.9,222.52
