,D_c,D_z
0,15.6,17.1
1,18.6,19.8
2,21.4,22.8
3,24.7,25.8
4,27.7,29.2
5,31.4,32.4
6,34.7,36.0
7,38.1,39.2
8,41.3,42.6
9,44.7,45.9
10,47.9,49.1
11,51.3,52.5
12,54.8,56.1
13,58.4,59.8
14,62.1,63.1
15,65.6,66.6
16,68.7,70.0
17,72.1,73.4
18,75.8,77.0
19,78.1,80.5
20,82.6,84.0
21,86.0,87.4
22,89.4,90.7
23,92.9,93.9
24,96.1,97.1
25,99.1,100.7
26,102.4,103.6
27,105.7,107.0
28,109.0,110.2
29,112.2,113.6
30,115.4,116.8
31,119.0,120.1
32,122.2,123.6
33,125.9,127.2
34,129.3,130.7
35,132.7,134.0
36,136.1,137.3
37,139.8,141.1
38,143.2,144.6
39,146.9,148.4
40,150.5,151.9
41,154.1,155.6
42,157.9,159.3
43,161.6,162.9
44,165.2,166.4
45,168.9,169.9
46,172.2,173.3
47,175.6,176.7
48,178.9,180.3
49,182.6,183.6
50,185.7,186.9
