,D_c,D_z
0,17.57,19.97
1,22.94,25.49
2,28.31,30.47
3,33.05,34.71
4,37.54,39.12
5,41.66,43.29
6,45.71,47.18
7,49.42,51.34
8,53.74,55.61
9,58.02,60.22
10,62.55,64.49
11,66.69,68.01
12,70.26,71.74
13,73.93,75.87
14,77.88,79.89
15,82.04,83.63
16,85.64,87.09
17,89.16,91.22
18,93.29,95.29
19,97.46,99.14
20,101.43,103.37
21,105.58,107.59
22,109.73,111.38
23,113.59,115.49
24,117.79,119.57
25,121.81,123.46
26,125.57,127.16
27,129.29,130.93
28,133.13,135.11
29,137.34,139.93
30,141.86,144.04
31,146.04,148.31
32,150.33,152.48
33,154.66,156.66
34,158.8,160.5
35,162.8,164.43
36,166.29,167.83
37,169.56,171.44
38,173.43,174.9
39,177.06,178.58
40,180.73,181.94
41,183.9,186.1
42,188.19,190.08
43,192.11,194.54
44,196.6,198.34
45,200.44,202.19
46,204.37,205.95
47,208.01,209.76
48,211.82,213.3
49,215.3,219.18
50,221.2,222.58
51,224.6,225.95
52,227.98,229.3
53,231.22,232.96
54,234.9,236.33
55,238.3,239.68
56,241.63,242.8
