,D_c,D_z
0,8.0,9.8
1,11.8,13.7
2,15.8,17.5
3,19.7,21.7
4,23.7,25.8
5,27.8,29.3
6,31.2,32.9
7,35.1,36.6
8,39.0,40.3
9,42.8,44.3
10,46.6,47.7
11,49.9,51.6
12,53.8,55.5
13,57.8,59.2
14,61.7,62.8
15,65.2,66.5
16,68.6,70.2
17,72.5,73.7
18,76.2,77.4
19,80.0,81.2
20,83.4,85.0
21,87.0,88.4
22,90.6,91.8
23,94.2,95.4
24,97.7,98.7
25,101.1,102.3
26,104.7,106.0
27,108.4,109.7
28,112.3,113.6
29,116.2,117.4
30,119.7,120.9
31,123.4,124.6
32,127.0,128.4
33,131.1,132.1
34,134.6,135.7
35,138.4,139.4
36,141.8,142.9
37,145.4,146.5
38,149.2,150.3
39,153.1,154.1
40,156.7,158.0
41,160.0,161.6
42,164.1,165.2
43,168.1,169.1
44,171.8,172.9
45,175.6,176.5
46,179.2,180.7
47,183.0,184.1
48,186.4,187.6
49,190.2,191.3
50,193.6,195.0
