,D_c,D_z
0,96.05,97.55
1,99.02,100.46
2,101.75,103.09
3,104.34,105.84
4,107.04,108.66
5,110.0,111.66
6,112.96,114.64
7,115.97,117.42
8,118.8,120.4
9,121.79,123.34
10,124.8,126.37
11,127.61,128.99
12,130.47,132.16
13,133.64,135.26
14,136.96,138.57
15,139.94,141.3
16,142.64,144.27
17,145.62,147.17
18,148.65,150.25
19,151.66,152.94
20,154.22,155.61
21,157.01,158.49
22,160.07,161.61
23,162.87,164.19
24,165.91,167.39
25,168.97,170.27
26,171.49,172.91
27,174.17,175.62
28,177.28,178.87
29,180.16,181.76
30,183.27,184.89
31,186.41,187.99
32,189.67,191.18
33,192.96,194.57
34,196.18,197.77
35,199.24,200.81
36,202.31,203.97
37,205.33,207.16
38,208.72,210.32
39,211.97,213.57
40,215.15,216.36
41,218.04,219.44
42,221.08,222.33
43,223.83,225.03
44,226.39,227.73
45,229.33,230.56
46,231.91,233.18
47,234.95,236.49
48,238.33,239.42
49,241.46,242.35
