,D_c,D_z
0,16.71,17.49
1,19.54,20.66
2,22.37,23.51
3,25.39,26.62
4,28.33,29.35
5,31.24,32.45
6,33.99,35.01
7,36.82,37.94
8,39.69,40.87
9,42.64,43.67
10,45.42,46.39
11,47.97,49.44
12,50.99,52.24
13,53.97,55.27
14,56.87,57.94
15,59.61,61.04
16,62.56,63.87
17,65.56,66.86
18,68.57,70.68
19,72.46,74.04
20,75.69,77.12
21,78.78,80.24
22,81.94,83.24
23,85.02,86.46
24,87.99,89.02
25,90.46,91.51
26,92.94,94.01
27,95.59,96.49
28,98.06,99.21
29,100.71,101.78
30,103.37,104.43
31,106.13,107.27
32,108.94,110.18
33,111.74,112.92
34,114.38,115.59
35,117.08,118.14
36,119.36,120.56
37,122.01,123.21
38,124.67,125.78
39,127.34,128.43
40,130.03,131.16
41,132.58,133.61
42,135.31,136.64
43,138.23,139.3
44,140.94,142.9
45,144.74,146.7
46,148.39,149.55
47,151.38,152.46
48,154.24,156.21
49,159.85,161.16
50,162.76,163.91
51,165.54,166.58
52,168.29,169.23
