,D_c,D_z
0,31.010,32.40
1,34.75,36.6
2,38.49,40.25
3,42.05,43.82
4,45.78,47.35
5,49.17,51.30
6,53.20,55.14
7,57.39,58.89
8,61.44,63.47
9,65.27,67.20
10,69.13,70.8
11,72.79,74.39
12,76.42,77.82
13,79.95,81.79
14,83.94,85.82
15,87.8,89.55
16,91.53,93.36
17,95.29,97.59
18,99.47,101.79
19,103.79,105.75
20,107.87,109.89
21,112.0,113.85
22,116.09,117.84
23,120.07,122.37
24,124.4,126.02
25,127.95,129.94
26,131.86,133.57
27,135.5,137.54
28,139.46,141.4
29,143.44,145.21
30,147.34,149.22
31,151.29,153.16
32,155.19,157.49
33,159.39,161.24
34,163.19,164.87
35,166.89,168.49
36,170.43,172.19
37,174.19,176.47
38,178.56,180.41
39,182.59,184.43
40,186.52,188.26
41,190.41,192.21
42,194.42,196.16
43,198.29,200.11
44,202.31,203.91
45,206.16,208.04
46,210.19,212.13
47,214.36,216.24
48,218.39,220.53
49,222.61,224.59
50,226.66,228.71
51,230.78,232.69
52,234.81,236.96
53,238.88,240.96
54,243.39,244.96
55,247.6,250.13
56,252.44,254.51
